	poa_global	module_temp	ambient_temp	Date	Month
2363	7.337468641474926	29.84175224373884	29.4	2020-07-03	7
2364	94.29101503719897	36.029984797977676	31.1	2020-07-03	7
2365	290.1838446125578	46.97124156400145	32.8	2020-07-03	7
2366	490.36653461960816	57.70232500707256	34.4	2020-07-03	7
2367	470.27371814442364	59.588156999113764	35.0	2020-07-03	7
2368	904.8434222824327	84.00953754864786	36.7	2020-07-03	7
2369	971.2734224788371	88.54054886566162	38.9	2020-07-03	7
2370	984.4034867420771	91.46931786448633	40.0	2020-07-03	7
2371	903.2198085724469	84.70909266765358	40.6	2020-07-03	7
2372	791.2670783043118	79.30118467371962	41.7	2020-07-03	7
2373	607.2452076758618	71.05642512131656	42.2	2020-07-03	7
2374	326.87647783268125	57.73324174035043	42.2	2020-07-03	7
2375	117.97372265069006	47.056773903832315	41.7	2020-07-03	7
2376	22.929589504609144	41.64115241872601	40.6	2020-07-03	7
2377	9.171835801843658	39.847910189165844	39.4	2020-07-03	7
2378	7.337468641474926	30.40149665030153	30.0	2020-07-04	7
2379	91.16624947574216	35.36660712398457	30.6	2020-07-04	7
2380	296.6767676269558	48.068614405083096	32.2	2020-07-04	7
2381	514.6100339492278	61.306271432708414	34.4	2020-07-04	7
2382	727.2751976966463	75.89554393896441	36.1	2020-07-04	7
2383	880.9736583605483	82.22544281052882	37.2	2020-07-04	7
2384	968.984528109306	86.70962438571009	38.3	2020-07-04	7
2385	988.7015372822492	92.88355937790453	40.0	2020-07-04	7
2386	923.0268375301453	86.7136181296423	40.6	2020-07-04	7
2387	792.0653367788609	80.3808205568852	41.7	2020-07-04	7
2388	612.5025027604495	73.00422362533308	41.7	2020-07-04	7
2389	346.8992645750026	60.081872294711715	41.1	2020-07-04	7
2390	135.9566148065824	47.739494466759155	41.1	2020-07-04	7
2391	43.10762826866519	42.203176034707234	40.0	2020-07-04	7
2392	14.674937282949852	39.65001737351736	38.9	2020-07-04	7
2393	6.42028506129056	33.135683179763824	32.8	2020-07-05	7
2394	73.22900507440495	37.12876228074774	33.3	2020-07-05	7
2395	295.5991999078216	49.50769901458352	34.4	2020-07-05	7
2396	517.6258160619468	62.66395093126776	35.6	2020-07-05	7
2397	723.631760390189	74.45201347168216	38.3	2020-07-05	7
